gml_file,num_nodes,num_edges,num_bad,num_good,full,expand_indices,seed,experiment_returncode,experiment_time_s,nksynth_returncode,verdict,timed_out,wall_time_s,user_time_s,sys_time_s,cpu_percent,max_rss_kb,max_rss_mb,timestamp
gml/Aarnet.gml,19,24,1,1,False,False,True,3,0,0.36,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:19:46
gml/Abilene.gml,11,14,1,1,False,False,True,3,0,0.354,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:19:48
gml/Abvt.gml,23,31,1,1,False,False,True,3,0,0.36,-9,TIMEOUT,True,2.012,,,,,,2026-07-05T16:19:51
gml/Aconet.gml,23,31,1,1,False,False,True,3,0,0.362,0,UNSAT,False,0.522,0.5,0.02,100,64516,63.0,2026-07-05T16:19:53
gml/Agis.gml,25,30,1,1,False,False,True,3,0,0.364,0,UNSAT,False,0.159,0.15,0.0,99,52560,51.33,2026-07-05T16:19:54
gml/Ai3.gml,10,9,1,1,False,False,True,3,0,0.359,0,UNSAT,False,0.074,0.06,0.0,100,37764,36.88,2026-07-05T16:19:54
gml/Airtel.gml,16,37,1,1,False,False,True,3,0,0.358,0,UNSAT,False,0.337,0.32,0.0,99,58056,56.7,2026-07-05T16:19:55
gml/Amres.gml,25,24,1,1,False,False,True,3,0,0.362,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:19:56
gml/Ans.gml,18,25,1,1,False,False,True,3,0,0.359,-9,TIMEOUT,True,2.011,,,,,,2026-07-05T16:19:58
gml/Arn.gml,30,29,1,1,False,False,True,3,0,0.368,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:20:00
gml/Arnes.gml,34,47,1,1,False,False,True,3,0,0.371,-9,TIMEOUT,True,2.011,,,,,,2026-07-05T16:20:03
gml/Arpanet196912.gml,4,4,1,1,False,False,True,3,0,0.363,0,UNSAT,False,0.022,0.01,0.01,100,35056,34.23,2026-07-05T16:20:05
gml/Arpanet19706.gml,9,10,1,1,False,False,True,3,0,0.362,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:20:05
gml/Arpanet19719.gml,18,22,1,1,False,False,True,3,0,0.363,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:20:08
gml/Arpanet19723.gml,25,28,1,1,False,False,True,3,0,0.366,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:20:10
gml/Arpanet19728.gml,29,32,1,1,False,False,True,3,0,0.362,0,UNSAT,False,0.155,0.14,0.0,100,54068,52.8,2026-07-05T16:20:13
gml/AsnetAm.gml,65,79,1,1,False,False,True,3,0,0.374,-9,TIMEOUT,True,2.011,,,,,,2026-07-05T16:20:13
gml/Atmnet.gml,21,22,1,1,False,False,True,3,0,0.367,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:20:16
gml/AttMpls.gml,25,57,1,1,False,False,True,3,0,0.367,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:20:18
gml/Azrena.gml,22,25,1,1,False,False,True,3,0,0.368,-9,TIMEOUT,True,2.011,,,,,,2026-07-05T16:20:20
gml/BackboneSerbiaMontenegro.gml,6,6,1,1,False,False,True,3,0,0.355,0,UNSAT,False,0.028,0.02,0.0,96,35288,34.46,2026-07-05T16:20:23
gml/Bandcon.gml,22,28,1,1,False,False,True,3,0,0.368,-9,TIMEOUT,True,2.011,,,,,,2026-07-05T16:20:23
gml/Basnet.gml,7,6,1,1,False,False,True,3,0,0.37,0,UNSAT,False,0.025,0.01,0.0,100,35340,34.51,2026-07-05T16:20:25
gml/Bbnplanet.gml,27,28,1,1,False,False,True,3,0,0.366,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:20:26
gml/Bellcanada.gml,48,65,1,1,False,False,True,3,0,0.38,-9,TIMEOUT,True,2.008,,,,,,2026-07-05T16:20:28
gml/Bellsouth.gml,51,66,1,1,False,False,True,3,0,0.384,0,UNSAT,False,0.624,0.58,0.03,99,108200,105.66,2026-07-05T16:20:31
gml/Belnet.gml,22,33,1,1,False,False,True,3,0,0.37,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:20:32
gml/Belnet2003.gml,23,43,1,1,False,False,True,3,0,0.366,0,UNSAT,False,0.344,0.31,0.03,99,67956,66.36,2026-07-05T16:20:34
gml/Belnet2004.gml,23,43,1,1,False,False,True,3,0,0.371,0,UNSAT,False,0.351,0.33,0.01,99,68464,66.86,2026-07-05T16:20:35
gml/Belnet2005.gml,23,44,1,1,False,False,True,3,0,0.374,0,UNSAT,False,0.342,0.33,0.0,99,68620,67.01,2026-07-05T16:20:35
gml/Belnet2006.gml,23,44,1,1,False,False,True,3,0,0.373,0,UNSAT,False,0.341,0.32,0.01,99,68480,66.88,2026-07-05T16:20:36
gml/Belnet2007.gml,21,31,1,1,False,False,True,3,0,0.373,0,UNSAT,False,0.135,0.12,0.0,99,49604,48.44,2026-07-05T16:20:37
gml/Belnet2008.gml,21,31,1,1,False,False,True,3,0,0.363,0,UNSAT,False,0.133,0.12,0.01,100,49912,48.74,2026-07-05T16:20:37
gml/Belnet2009.gml,21,31,1,1,False,False,True,3,0,0.366,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:20:38
gml/Belnet2010.gml,22,32,1,1,False,False,True,3,0,0.368,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:20:40
gml/BeyondTheNetwork.gml,53,65,1,1,False,False,True,3,0,0.381,-9,TIMEOUT,True,2.009,,,,,,2026-07-05T16:20:43
gml/Bics.gml,33,48,1,1,False,False,True,3,0,0.374,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:20:45
gml/Biznet.gml,29,33,1,1,False,False,True,3,0,0.375,-9,TIMEOUT,True,2.012,,,,,,2026-07-05T16:20:47
gml/Bren.gml,37,38,1,1,False,False,True,3,0,0.367,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:20:50
gml/BsonetEurope.gml,18,24,1,1,False,False,True,3,0,0.364,0,UNSAT,False,0.077,0.07,0.0,100,41664,40.69,2026-07-05T16:20:52
gml/BtAsiaPac.gml,20,31,1,1,False,False,True,3,0,0.361,0,UNSAT,False,0.132,0.11,0.01,99,50864,49.67,2026-07-05T16:20:53
gml/BtEurope.gml,24,37,1,1,False,False,True,3,0,0.369,0,UNSAT,False,0.392,0.36,0.02,100,85144,83.15,2026-07-05T16:20:53
gml/BtLatinAmerica.gml,51,50,1,1,False,False,True,3,0,0.371,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:20:54
gml/BtNorthAmerica.gml,36,76,1,1,False,False,True,3,0,0.372,-9,TIMEOUT,True,2.01,,,,,,2026-07-05T16:20:56
gml/Canerie.gml,32,41,1,1,False,False,True,3,0,0.375,-9,TIMEOUT,True,2.008,,,,,,2026-07-05T16:20:59
gml/Carnet.gml,44,43,1,1,False,False,True,3,0,0.374,-9,TIMEOUT,True,2.008,,,,,,2026-07-05T16:21:01
gml/Cernet.gml,41,59,1,1,False,False,True,3,0,0.367,-9,TIMEOUT,True,2.012,,,,,,2026-07-05T16:21:03
gml/Cesnet1993.gml,10,9,1,1,False,False,True,3,0,0.362,0,UNSAT,False,0.064,0.06,0.0,100,38388,37.49,2026-07-05T16:21:06
gml/Cesnet1997.gml,13,12,1,1,False,False,True,3,0,0.406,0,UNSAT,False,0.043,0.03,0.0,100,37308,36.43,2026-07-05T16:21:06
gml/Cesnet1999.gml,13,12,1,1,False,False,True,3,0,0.401,0,UNSAT,False,0.073,0.06,0.01,100,40820,39.86,2026-07-05T16:21:07
gml/Cesnet2.gml,30,42,1,1,False,False,True,3,0,0.368,0,UNSAT,False,0.203,0.18,0.01,99,70316,68.67,2026-07-05T16:21:07
gml/Cesnet2001.gml,23,23,1,1,False,False,True,3,0,0.361,0,UNSAT,False,0.096,0.08,0.0,98,45112,44.05,2026-07-05T16:21:08
gml/Cesnet200304.gml,29,33,1,1,False,False,True,3,0,0.364,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:21:08
gml/Cesnet200511.gml,39,44,1,1,False,False,True,3,0,0.368,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:21:10
gml/Cesnet200603.gml,39,44,1,1,False,False,True,3,0,0.375,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:21:13
gml/Cesnet200706.gml,44,51,1,1,False,False,True,3,0,0.382,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:21:15
gml/Cesnet201006.gml,52,63,1,1,False,False,True,3,0,0.45,-9,TIMEOUT,True,2.008,,,,,,2026-07-05T16:21:18
gml/Chinanet.gml,42,66,1,1,False,False,True,3,0,0.37,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:21:20
gml/Claranet.gml,15,18,1,1,False,False,True,3,0,0.361,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:21:22
gml/Cogentco.gml,197,245,1,1,False,False,True,3,0,0.612,-9,TIMEOUT,True,2.027,,,,,,2026-07-05T16:21:25
gml/Colt.gml,153,191,1,1,False,False,True,3,0,0.5,-9,TIMEOUT,True,2.02,,,,,,2026-07-05T16:21:27
gml/Columbus.gml,70,85,1,1,False,False,True,3,0,0.394,-9,TIMEOUT,True,2.017,,,,,,2026-07-05T16:21:30
gml/Compuserve.gml,14,17,1,1,False,False,True,3,0,0.367,-9,TIMEOUT,True,2.009,,,,,,2026-07-05T16:21:32
gml/CrlNetworkServices.gml,33,38,1,1,False,False,True,3,0,0.374,0,UNSAT,False,0.27,0.24,0.01,99,71580,69.9,2026-07-05T16:21:35
gml/Cudi.gml,51,52,1,1,False,False,True,3,0,0.38,0,UNSAT,False,0.611,0.58,0.02,99,104780,102.32,2026-07-05T16:21:35
gml/Cwix.gml,36,41,1,1,False,False,True,3,0,0.372,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:21:36
gml/Cynet.gml,30,29,1,1,False,False,True,3,0,0.379,-9,TIMEOUT,True,2.005,,,,,,2026-07-05T16:21:39
gml/Darkstrand.gml,28,31,1,1,False,False,True,3,0,0.37,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:21:41
gml/Dataxchange.gml,6,11,1,1,False,False,True,3,0,0.361,0,UNSAT,False,0.038,0.02,0.01,97,35880,35.04,2026-07-05T16:21:44
gml/Deltacom.gml,113,183,1,1,False,False,True,3,0,0.438,-9,TIMEOUT,True,2.036,,,,,,2026-07-05T16:21:44
gml/DeutscheTelekom.gml,39,62,1,1,False,False,True,3,0,0.369,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:21:46
gml/DeutscheTelekomIpTransitIpPopsOnly.gml,39,62,1,1,False,False,True,3,0,0.372,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:21:49
gml/Dfn.gml,58,87,1,1,False,False,True,3,0,0.419,-9,TIMEOUT,True,2.01,,,,,,2026-07-05T16:21:51
gml/DialtelecomCz.gml,193,151,1,1,False,False,True,3,0,0.561,-9,TIMEOUT,True,2.02,,,,,,2026-07-05T16:21:54
gml/Digex.gml,31,38,1,1,False,False,True,3,0,0.367,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:21:56
gml/Easynet.gml,19,29,1,1,False,False,True,3,0,0.36,0,UNSAT,False,0.084,0.07,0.0,98,44036,43.0,2026-07-05T16:21:59
gml/Eenet.gml,13,16,1,1,False,False,True,3,0,0.362,0,UNSAT,False,0.053,0.05,0.0,100,38648,37.74,2026-07-05T16:21:59
gml/EliBackbone.gml,20,30,1,1,False,False,True,3,0,0.372,0,UNSAT,False,0.212,0.19,0.01,99,55564,54.26,2026-07-05T16:21:59
gml/Epoch.gml,6,7,1,1,False,False,True,3,0,0.359,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:22:00
gml/Ernet.gml,30,32,1,1,False,False,True,3,0,0.363,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:22:02
gml/Esnet.gml,68,92,1,1,False,False,True,3,0,0.386,-9,TIMEOUT,True,2.011,,,,,,2026-07-05T16:22:05
gml/Eunetworks.gml,15,19,1,1,False,False,True,3,0,0.36,0,UNSAT,False,0.062,0.05,0.0,100,39928,38.99,2026-07-05T16:22:07
gml/Evolink.gml,37,45,1,1,False,False,True,3,0,0.365,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:22:08
gml/Fatman.gml,17,21,1,1,False,False,True,3,0,0.377,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:22:10
gml/Fccn.gml,23,27,1,1,False,False,True,3,0,0.375,-9,TIMEOUT,True,2.005,,,,,,2026-07-05T16:22:12
gml/Forthnet.gml,62,62,1,1,False,False,True,3,0,0.382,-9,TIMEOUT,True,2.012,,,,,,2026-07-05T16:22:15
gml/Funet.gml,26,31,1,1,False,False,True,3,0,0.365,-9,TIMEOUT,True,2.004,,,,,,2026-07-05T16:22:17
gml/Gambia.gml,28,28,1,1,False,False,True,3,0,0.366,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:22:19
gml/Garr.gml,56,74,1,1,False,False,True,3,0,0.377,-9,TIMEOUT,True,2.012,,,,,,2026-07-05T16:22:22
gml/Garr199901.gml,16,18,1,1,False,False,True,3,0,0.361,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:22:24
gml/Garr199904.gml,23,25,1,1,False,False,True,3,0,0.363,-9,TIMEOUT,True,2.007,,,,,,2026-07-05T16:22:27
gml/Garr199905.gml,23,25,1,1,False,False,True,3,0,0.367,0,UNSAT,False,0.155,0.13,0.01,99,53672,52.41,2026-07-05T16:22:29
gml/Garr200004.gml,22,24,1,1,False,False,True,3,0,0.359,-9,TIMEOUT,True,2.006,,,,,,2026-07-05T16:22:29
