gml_file,num_nodes,num_edges,num_bad,num_good,full,expand_indices,force_unsat,seed,experiment_returncode,experiment_time_s,nksynth_returncode,verdict,timed_out,wall_time_s,user_time_s,sys_time_s,cpu_percent,max_rss_kb,max_rss_mb,timestamp,num_repeats
gml/Aarnet.gml,19,24,1,1,False,False,True,3,0,0.354,-9,TIMEOUT,True,2.003,,,,,,2026-07-10T00:35:03,1
gml/Abilene.gml,11,14,1,1,False,False,True,3,0,0.357,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:35:05,1
gml/Abvt.gml,23,31,1,1,False,False,True,3,0,0.355,-9,TIMEOUT,True,2.008,,,,,,2026-07-10T00:35:07,1
gml/Aconet.gml,23,31,1,1,False,False,True,3,0,0.36,0,UNSAT,False,1.261,1.23,0.01,99,63524,62.04,2026-07-10T00:35:10,1
gml/Agis.gml,25,30,1,1,False,False,True,3,0,0.355,0,UNSAT,False,0.323,0.31,0.0,100,53820,52.56,2026-07-10T00:35:11,1
gml/Ai3.gml,10,9,1,1,False,False,True,3,0,0.355,0,UNSAT,False,0.172,0.16,0.0,100,37644,36.76,2026-07-10T00:35:12,1
gml/Airtel.gml,16,37,1,1,False,False,True,3,0,0.355,0,UNSAT,False,0.514,0.5,0.01,99,48912,47.77,2026-07-10T00:35:13,1
gml/Amres.gml,25,24,1,1,False,False,True,3,0,0.362,-9,TIMEOUT,True,2.007,,,,,,2026-07-10T00:35:13,1
gml/Ans.gml,18,25,1,1,False,False,True,3,0,0.36,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:35:16,1
gml/Arn.gml,30,29,1,1,False,False,True,3,0,0.371,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:35:18,1
gml/Arnes.gml,34,47,1,1,False,False,True,3,0,0.373,-9,TIMEOUT,True,2.009,,,,,,2026-07-10T00:35:20,1
gml/Arpanet196912.gml,4,4,1,1,False,False,True,3,0,0.356,0,UNSAT,False,0.031,0.01,0.01,96,35272,34.45,2026-07-10T00:35:23,1
gml/Arpanet19706.gml,9,10,1,1,False,False,True,3,0,0.358,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:35:23,1
gml/Arpanet19719.gml,18,22,1,1,False,False,True,3,0,0.361,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:35:26,1
gml/Arpanet19723.gml,25,28,1,1,False,False,True,3,0,0.366,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:35:28,1
gml/Arpanet19728.gml,29,32,1,1,False,False,True,3,0,0.36,0,UNSAT,False,0.16,0.14,0.01,100,49916,48.75,2026-07-10T00:35:30,1
gml/AsnetAm.gml,65,79,1,1,False,False,True,3,0,0.377,-9,TIMEOUT,True,2.011,,,,,,2026-07-10T00:35:31,1
gml/Atmnet.gml,21,22,1,1,False,False,True,3,0,0.364,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:35:33,1
gml/AttMpls.gml,25,57,1,1,False,False,True,3,0,0.367,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:35:36,1
gml/Azrena.gml,22,25,1,1,False,False,True,3,0,0.361,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:35:38,1
gml/BackboneSerbiaMontenegro.gml,6,6,1,1,False,False,True,3,0,0.364,0,UNSAT,False,0.037,0.03,0.0,100,35192,34.37,2026-07-10T00:35:40,1
gml/Bandcon.gml,22,28,1,1,False,False,True,3,0,0.367,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:35:41,1
gml/Basnet.gml,7,6,1,1,False,False,True,3,0,0.364,0,UNSAT,False,0.077,0.06,0.0,98,36420,35.57,2026-07-10T00:35:43,1
gml/Bbnplanet.gml,27,28,1,1,False,False,True,3,0,0.365,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:35:44,1
gml/Bellcanada.gml,48,65,1,1,False,False,True,3,0,0.377,-9,TIMEOUT,True,2.008,,,,,,2026-07-10T00:35:46,1
gml/Bellsouth.gml,51,66,1,1,False,False,True,3,0,0.379,0,UNSAT,False,1.074,1.02,0.04,99,114264,111.59,2026-07-10T00:35:48,1
gml/Belnet.gml,22,33,1,1,False,False,True,3,0,0.369,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:35:50,1
gml/Belnet2003.gml,23,43,1,1,False,False,True,3,0,0.37,0,UNSAT,False,0.629,0.61,0.01,99,64052,62.55,2026-07-10T00:35:52,1
gml/Belnet2004.gml,23,43,1,1,False,False,True,3,0,0.368,0,UNSAT,False,0.624,0.6,0.01,99,58832,57.45,2026-07-10T00:35:53,1
gml/Belnet2005.gml,23,44,1,1,False,False,True,3,0,0.36,0,UNSAT,False,0.867,0.85,0.01,99,62664,61.2,2026-07-10T00:35:54,1
gml/Belnet2006.gml,23,44,1,1,False,False,True,3,0,0.362,0,UNSAT,False,0.886,0.86,0.01,100,62572,61.11,2026-07-10T00:35:55,1
gml/Belnet2007.gml,21,31,1,1,False,False,True,3,0,0.37,0,UNSAT,False,0.14,0.13,0.0,99,44128,43.09,2026-07-10T00:35:57,1
gml/Belnet2008.gml,21,31,1,1,False,False,True,3,0,0.366,0,UNSAT,False,0.143,0.12,0.01,100,43788,42.76,2026-07-10T00:35:57,1
gml/Belnet2009.gml,21,31,1,1,False,False,True,3,0,0.377,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:35:58,1
gml/Belnet2010.gml,22,32,1,1,False,False,True,3,0,0.379,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:36:00,1
gml/BeyondTheNetwork.gml,53,65,1,1,False,False,True,3,0,0.386,-9,TIMEOUT,True,2.008,,,,,,2026-07-10T00:36:02,1
gml/Bics.gml,33,48,1,1,False,False,True,3,0,0.373,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:36:05,1
gml/Biznet.gml,29,33,1,1,False,False,True,3,0,0.375,-9,TIMEOUT,True,2.008,,,,,,2026-07-10T00:36:07,1
gml/Bren.gml,37,38,1,1,False,False,True,3,0,0.379,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:36:10,1
gml/BsonetEurope.gml,18,24,1,1,False,False,True,3,0,0.378,0,UNSAT,False,0.154,0.14,0.0,100,41008,40.05,2026-07-10T00:36:12,1
gml/BtAsiaPac.gml,20,31,1,1,False,False,True,3,0,0.37,0,UNSAT,False,0.216,0.2,0.0,100,50416,49.23,2026-07-10T00:36:13,1
gml/BtEurope.gml,24,37,1,1,False,False,True,3,0,0.376,0,UNSAT,False,0.32,0.3,0.01,99,54688,53.41,2026-07-10T00:36:13,1
gml/BtLatinAmerica.gml,51,50,1,1,False,False,True,3,0,0.379,-9,TIMEOUT,True,2.007,,,,,,2026-07-10T00:36:14,1
gml/BtNorthAmerica.gml,36,76,1,1,False,False,True,3,0,0.366,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:36:16,1
gml/Canerie.gml,32,41,1,1,False,False,True,3,0,0.377,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:36:19,1
gml/Carnet.gml,44,43,1,1,False,False,True,3,0,0.379,-9,TIMEOUT,True,2.007,,,,,,2026-07-10T00:36:21,1
gml/Cernet.gml,41,59,1,1,False,False,True,3,0,0.384,-9,TIMEOUT,True,2.007,,,,,,2026-07-10T00:36:23,1
gml/Cesnet1993.gml,10,9,1,1,False,False,True,3,0,0.361,0,UNSAT,False,0.094,0.08,0.0,100,37548,36.67,2026-07-10T00:36:26,1
gml/Cesnet1997.gml,13,12,1,1,False,False,True,3,0,0.362,0,UNSAT,False,0.059,0.04,0.0,100,36496,35.64,2026-07-10T00:36:26,1
